,school,sex,romantic,age,Mjob,Fjob,health,studytime,absences,G3
83,GP,M,no,15,services,services,4,2,4,15
84,GP,F,no,15,other,other,4,2,2,10
85,GP,F,yes,15,services,services,5,2,6,8
86,GP,F,no,16,at_home,other,2,2,4,6
87,GP,F,no,15,other,other,1,3,4,14
88,GP,M,no,16,services,other,3,2,12,10
89,GP,M,no,16,teacher,health,5,2,18,7
90,GP,F,yes,16,other,other,4,3,0,8
91,GP,F,no,15,services,other,1,1,4,18
92,GP,F,no,16,other,other,2,2,4,6
93,GP,F,no,16,teacher,services,1,2,0,10
94,GP,M,no,15,services,health,4,4,6,14
95,GP,F,no,15,at_home,other,1,4,2,10
96,GP,M,no,16,services,other,4,1,2,15
97,GP,F,yes,16,other,other,5,2,2,10
98,GP,F,no,16,other,other,1,1,6,14
99,GP,F,no,16,other,at_home,3,3,0,8
100,GP,M,no,16,services,services,4,1,14,5
101,GP,M,yes,16,services,teacher,4,3,0,17
102,GP,M,no,15,services,other,5,1,4,14
103,GP,F,no,15,services,other,2,2,26,6
104,GP,M,no,15,services,other,1,2,0,18
105,GP,F,no,15,other,health,4,4,10,11
106,GP,F,no,15,other,other,3,4,8,8
107,GP,M,no,16,services,other,5,3,2,18
108,GP,M,yes,15,other,other,1,4,6,13
109,GP,F,yes,16,health,health,4,3,4,16
110,GP,M,no,15,teacher,teacher,4,1,6,19
111,GP,F,no,16,services,other,2,3,0,10
112,GP,F,no,16,at_home,other,5,2,6,13
113,GP,M,no,15,teacher,other,3,1,10,19
114,GP,M,yes,15,health,services,5,2,8,9
115,GP,M,no,16,teacher,teacher,5,2,2,16
116,GP,M,no,15,other,teacher,2,2,2,14
117,GP,M,no,16,other,services,5,1,0,13
118,GP,M,no,17,other,other,5,2,20,8
119,GP,M,no,15,other,other,4,1,6,13
120,GP,F,no,15,at_home,services,1,2,2,15
121,GP,M,no,15,services,services,5,4,6,15
122,GP,F,yes,16,other,health,5,2,2,13
123,GP,M,no,16,health,other,5,1,18,13
124,GP,F,yes,16,other,other,5,2,0,8
125,GP,M,no,15,services,services,5,1,0,12
126,GP,F,yes,15,other,other,1,2,0,11
127,GP,F,no,19,at_home,other,5,2,2,9
128,GP,M,no,18,services,other,4,1,0,0
129,GP,M,no,16,teacher,teacher,4,1,8,18
130,GP,F,yes,15,services,teacher,5,3,0,0
131,GP,F,yes,15,at_home,other,4,1,0,0
132,GP,F,yes,17,other,other,5,1,12,12
133,GP,F,no,16,services,other,5,1,16,11
134,GP,M,yes,15,at_home,teacher,5,2,0,0
135,GP,F,yes,15,services,at_home,5,3,0,0
136,GP,M,no,17,at_home,other,5,2,0,0
137,GP,F,yes,16,other,other,5,1,0,0
138,GP,M,yes,16,services,other,5,2,0,12
139,GP,F,no,15,teacher,teacher,5,1,0,15
140,GP,M,no,15,teacher,services,3,4,0,0
141,GP,M,no,16,services,services,2,1,8,9
142,GP,F,no,15,teacher,services,5,3,2,11
143,GP,F,no,16,at_home,at_home,1,1,2,13
144,GP,M,no,17,other,other,5,1,0,0
145,GP,F,no,15,other,services,5,2,0,11
146,GP,F,no,15,health,services,3,2,0,0
147,GP,F,no,15,at_home,other,5,2,2,11
148,GP,M,yes,16,teacher,teacher,5,1,0,0
149,GP,M,no,15,services,other,5,1,0,10
150,GP,M,yes,18,other,other,4,1,0,0
151,GP,M,yes,16,at_home,other,5,1,6,14
152,GP,F,yes,15,services,services,3,3,8,10
153,GP,M,yes,19,services,at_home,4,1,0,0
154,GP,F,yes,17,other,teacher,4,1,0,12
155,GP,M,no,15,at_home,services,1,2,2,8
156,GP,M,no,17,other,other,5,1,8,13
157,GP,F,no,18,at_home,other,4,1,6,10
158,GP,M,no,16,at_home,other,3,1,2,15
159,GP,M,yes,16,other,services,5,2,4,12
160,GP,M,yes,17,at_home,other,5,1,0,0
161,GP,M,yes,15,other,other,3,2,6,7
162,GP,M,no,16,other,other,5,1,0,0
163,GP,M,no,17,at_home,services,2,1,2,10
164,GP,M,yes,17,other,services,5,2,0,7
165,GP,M,no,16,services,services,2,1,16,12
166,GP,M,no,16,other,other,4,2,4,10
167,GP,F,yes,16,health,services,3,2,0,16
168,GP,F,no,16,other,other,4,2,0,0
169,GP,F,yes,16,health,health,3,2,0,14
170,GP,M,no,16,other,other,2,1,0,0
171,GP,M,yes,16,other,other,3,2,2,16
172,GP,M,no,17,teacher,other,5,2,0,10
173,GP,F,yes,16,at_home,services,3,2,0,0
174,GP,F,no,16,other,other,4,2,4,9
175,GP,M,no,17,teacher,other,4,2,4,9
176,GP,F,no,16,services,other,5,2,2,11
177,GP,M,no,17,other,other,4,2,4,6
178,GP,M,yes,16,teacher,services,3,1,10,9
179,GP,M,yes,17,other,other,2,2,4,11
180,GP,M,no,16,teacher,other,3,2,10,8
181,GP,M,yes,16,services,other,3,2,2,12
182,GP,F,no,17,services,services,5,2,0,17
183,GP,F,yes,17,other,other,1,2,56,8
184,GP,F,no,16,other,other,1,2,14,12
185,GP,M,yes,17,services,services,4,2,12,11
186,GP,M,yes,16,services,services,3,1,2,11
187,GP,M,yes,16,other,other,5,2,0,15
188,GP,F,yes,17,health,other,3,2,6,9
189,GP,M,no,17,at_home,other,3,2,4,10
190,GP,F,no,16,services,services,2,2,10,13
191,GP,F,no,17,at_home,services,3,2,0,9
192,GP,M,no,17,at_home,services,5,2,12,8
193,GP,M,no,16,services,services,5,1,8,10
194,GP,M,no,16,other,other,3,1,0,14
195,GP,F,yes,17,services,services,5,2,0,15
196,GP,M,no,17,services,teacher,5,1,4,16
197,GP,M,no,16,teacher,other,3,1,8,10
198,GP,F,no,17,services,teacher,2,1,24,18
199,GP,F,no,16,teacher,teacher,3,2,0,10
200,GP,F,no,16,health,other,2,2,2,16
201,GP,F,no,16,other,other,4,2,6,10
202,GP,F,no,17,other,other,1,2,4,10
203,GP,F,no,17,other,other,3,1,18,6
204,GP,F,no,16,services,services,5,4,6,11
205,GP,F,yes,17,at_home,services,5,3,28,9
206,GP,F,no,16,services,other,4,2,5,7
207,GP,F,yes,16,teacher,other,1,2,10,13
208,GP,F,no,16,at_home,other,5,1,6,10
209,GP,F,yes,17,teacher,other,4,3,6,7
210,GP,F,no,19,other,other,3,4,10,8
211,GP,M,yes,17,services,other,3,2,13,13
212,GP,F,no,16,other,other,4,2,0,14
213,GP,M,no,18,services,other,5,2,15,8
214,GP,F,no,17,services,other,3,1,12,10
215,GP,F,no,17,other,other,1,2,2,15
216,GP,F,yes,17,other,other,1,2,22,4
217,GP,M,no,18,services,health,4,2,13,8
218,GP,F,no,17,at_home,other,3,1,3,8
219,GP,F,no,17,at_home,at_home,4,3,4,10
220,GP,F,no,17,at_home,services,5,2,2,6
221,GP,F,yes,17,at_home,other,5,3,0,0
222,GP,F,no,16,services,teacher,3,2,2,17
223,GP,M,no,18,other,other,4,2,0,13
224,GP,F,no,16,teacher,services,5,3,0,14
225,GP,F,yes,18,other,other,4,2,16,7
226,GP,F,no,17,other,other,3,2,10,15
227,GP,M,no,17,services,services,3,2,2,12
228,GP,M,yes,18,at_home,other,3,2,14,9
229,GP,F,yes,17,other,other,3,3,10,12
230,GP,F,yes,17,health,other,3,2,14,14
231,GP,M,no,17,other,other,1,2,4,11
232,GP,M,yes,17,teacher,teacher,2,2,14,9
233,GP,M,no,16,health,other,1,2,2,13
234,GP,M,no,16,other,other,5,2,18,6
235,GP,M,yes,16,at_home,other,2,3,10,10
236,GP,M,yes,17,other,other,4,2,4,13
237,GP,F,yes,16,other,other,5,1,20,12
238,GP,F,no,17,at_home,services,3,2,2,11
239,GP,M,no,18,other,services,2,2,0,0
240,GP,M,yes,17,health,other,5,2,14,12
241,GP,M,no,17,teacher,other,4,2,2,12
242,GP,M,no,16,teacher,other,3,1,0,0
243,GP,M,no,16,services,services,5,1,0,12
244,GP,F,yes,18,other,other,3,3,0,0
245,GP,M,no,16,other,other,4,1,6,18
246,GP,M,no,17,other,other,2,1,4,13
247,GP,M,yes,22,services,services,1,1,16,8
248,GP,M,yes,18,other,services,5,2,8,5
249,GP,M,no,16,other,other,5,1,0,15
250,GP,M,no,18,services,other,5,1,0,8
251,GP,M,no,16,at_home,other,2,2,6,10
252,GP,M,no,18,services,services,5,1,4,8
253,GP,M,no,16,other,other,3,1,0,8
254,GP,M,no,17,other,other,5,1,0,12
255,GP,M,no,17,health,other,5,1,2,8
256,GP,F,no,17,teacher,services,4,4,6,13
257,GP,M,no,19,services,at_home,1,2,12,11
258,GP,M,no,18,other,other,4,2,8,14
259,GP,F,yes,17,services,services,2,4,0,0
260,GP,F,yes,18,services,other,2,2,21,18
261,GP,M,no,18,teacher,other,3,2,2,8
262,GP,M,no,18,other,other,3,3,1,12
263,GP,F,no,17,other,other,4,3,4,9
264,GP,F,yes,18,at_home,services,3,3,0,0
265,GP,M,no,18,other,other,1,2,13,17
266,GP,M,yes,17,services,other,5,2,2,10
267,GP,F,no,18,teacher,other,4,2,8,11
268,GP,M,yes,18,health,other,5,2,10,10
269,GP,F,yes,18,other,other,3,2,0,0
270,GP,F,no,19,other,services,5,2,15,9
271,GP,F,yes,18,other,services,2,4,4,14
272,GP,F,no,18,other,other,3,2,2,11
273,GP,M,yes,17,at_home,at_home,1,2,2,14
274,GP,F,yes,17,at_home,health,1,2,2,10
275,GP,F,yes,17,services,other,5,2,6,12
276,GP,F,yes,18,other,services,5,2,75,9
277,GP,M,no,18,teacher,services,3,1,22,9
278,GP,F,yes,18,health,health,4,2,15,8
279,GP,M,no,18,teacher,services,1,1,8,10
280,GP,M,yes,17,services,other,5,1,30,8
281,GP,M,no,17,teacher,services,3,1,19,10
282,GP,F,no,18,at_home,other,3,4,1,12
283,GP,F,no,18,other,other,4,2,4,10
284,GP,F,no,17,other,other,5,2,4,11
285,GP,M,no,17,other,other,4,2,2,11
286,GP,F,no,18,at_home,at_home,2,3,5,19
287,GP,F,no,17,services,teacher,3,3,6,12
288,GP,M,no,18,services,services,2,3,6,14
289,GP,M,no,18,teacher,teacher,2,2,9,15
290,GP,M,yes,18,teacher,other,5,2,11,11
291,GP,F,no,17,health,services,3,3,0,15
292,GP,F,yes,18,services,at_home,5,2,12,13
293,GP,F,no,17,services,other,3,4,6,18
294,GP,M,no,18,services,other,4,3,8,14
295,GP,M,no,17,health,other,5,1,4,11
296,GP,F,no,19,health,other,2,2,0,0
297,GP,F,yes,18,other,other,2,2,10,8
298,GP,F,no,18,other,other,3,4,0,14
299,GP,M,yes,18,teacher,teacher,1,1,5,16
300,GP,F,yes,18,health,other,4,2,14,11
301,GP,M,no,17,other,teacher,5,1,0,10
302,GP,F,no,17,other,other,3,3,0,14
303,GP,F,no,17,health,health,5,4,0,18
304,GP,M,yes,19,other,other,3,2,20,13
305,GP,F,no,18,services,at_home,3,2,8,12
306,GP,M,no,20,services,other,5,1,0,18
307,GP,M,yes,19,teacher,services,4,1,38,8
308,GP,M,yes,19,other,services,5,2,0,12
309,GP,F,no,19,at_home,other,3,2,18,10
310,GP,F,yes,19,services,services,3,2,0,0
311,GP,F,yes,19,at_home,other,2,2,20,13
312,GP,M,no,19,other,services,4,2,3,11
313,GP,F,yes,19,services,other,1,2,22,11
314,GP,F,yes,19,at_home,health,3,3,14,13
315,GP,F,yes,19,other,other,3,3,40,11
316,GP,F,no,18,services,other,1,2,0,0
317,GP,F,yes,18,other,other,5,3,9,9
318,GP,F,no,17,at_home,services,5,3,0,10
319,GP,F,no,18,teacher,other,5,2,2,11
320,GP,F,yes,17,services,services,5,2,23,13
321,GP,F,yes,17,other,other,3,2,12,9
322,GP,F,no,17,services,services,3,3,3,11
323,GP,F,no,17,services,services,5,3,1,15
324,GP,F,no,17,at_home,at_home,2,3,0,15
325,GP,M,no,18,other,other,3,3,3,11
326,GP,M,no,17,other,services,5,1,3,16
327,GP,M,no,17,services,other,4,1,8,10
328,GP,F,no,17,teacher,services,4,3,7,9
329,GP,F,yes,17,teacher,teacher,4,3,4,14
330,GP,M,no,18,other,other,5,4,2,8
331,GP,F,yes,17,at_home,other,5,3,7,14
332,GP,F,no,18,services,services,4,2,0,0
333,GP,F,yes,18,other,other,2,2,0,0
334,GP,F,no,18,at_home,other,4,4,0,0
335,GP,F,no,17,services,other,5,3,16,15
336,GP,F,no,19,services,at_home,5,3,12,13
337,GP,F,yes,17,other,other,2,2,0,0
338,GP,F,no,18,services,services,1,4,7,17
339,GP,F,no,17,other,other,2,2,4,10
340,GP,F,yes,19,services,services,3,3,4,11
341,GP,M,no,18,teacher,services,2,2,0,0
342,GP,M,yes,18,services,other,5,2,11,15
343,GP,F,yes,17,at_home,at_home,4,2,0,0
344,GP,F,no,18,at_home,other,3,3,4,10
345,GP,F,yes,18,other,services,1,3,7,14
346,GP,M,yes,18,teacher,services,4,3,9,16
347,GP,M,yes,18,teacher,other,5,3,0,9
348,GP,F,yes,17,health,other,4,3,0,15
349,MS,M,no,18,other,other,5,1,10,13
350,MS,M,no,19,other,services,2,2,8,8
351,MS,M,no,17,health,other,3,2,2,13
352,MS,M,yes,18,at_home,services,3,1,7,8
353,MS,M,no,19,other,other,5,1,4,8
354,MS,M,yes,17,services,other,2,2,4,11
355,MS,F,yes,18,services,services,5,2,0,9
356,MS,F,no,17,teacher,services,5,2,4,13
357,MS,F,yes,17,services,other,5,2,2,11
358,MS,M,yes,18,other,services,3,1,4,10
359,MS,F,no,18,at_home,services,4,3,0,16
360,MS,F,yes,18,at_home,other,5,2,0,13
361,MS,M,no,18,at_home,other,5,2,2,12
362,MS,F,yes,18,services,services,3,2,0,10
363,MS,F,yes,17,at_home,at_home,1,2,0,15
364,MS,F,no,17,other,services,3,2,0,12
365,MS,M,no,18,at_home,other,3,2,4,10
366,MS,M,yes,18,teacher,services,5,3,0,13
367,MS,F,yes,17,other,services,1,1,0,0
368,MS,F,yes,18,at_home,services,4,1,0,10
369,MS,F,yes,18,other,teacher,5,2,10,11
370,MS,F,yes,19,services,services,3,2,4,9
371,MS,M,yes,18,at_home,services,3,1,3,12
372,MS,F,yes,17,other,at_home,3,3,8,11
373,MS,F,no,17,other,other,1,1,14,5
374,MS,F,no,18,other,other,1,3,0,19
375,MS,F,no,18,other,other,4,3,2,10
376,MS,F,yes,20,health,other,3,3,4,15
377,MS,F,no,18,teacher,services,2,2,4,10
378,MS,F,yes,18,other,other,1,2,0,15
379,MS,F,no,17,at_home,other,1,2,17,10
380,MS,M,no,18,teacher,teacher,2,2,4,14
381,MS,M,yes,18,other,other,5,1,5,7
382,MS,M,no,17,other,services,3,2,2,10
383,MS,M,no,19,other,services,5,1,0,0
384,MS,M,no,18,other,other,3,1,14,5
385,MS,F,no,18,at_home,other,4,3,2,10
386,MS,F,yes,18,teacher,at_home,5,1,7,6
387,MS,F,no,19,services,other,5,3,0,0
388,MS,F,no,18,teacher,services,1,2,0,8
389,MS,F,no,18,other,other,5,2,0,0
390,MS,M,no,20,services,services,4,2,11,9
391,MS,M,no,17,services,services,2,1,3,16
392,MS,M,no,21,other,other,3,1,3,7
393,MS,M,no,18,services,other,5,1,0,10
394,MS,M,no,19,other,at_home,5,1,5,9
